State_ID,Config_ID,Workload,RP,norm_rew
183,60,2,729.29,0.103149637995779
184,61,0,129.61,0.016935701839637
185,61,1,119.85,0.0155325401252494
186,61,2,124.62,0.0162183066598425
187,62,0,1551.5,0.2213559487730961
188,62,1,1539.81,0.2196753175803511
189,62,2,1553.45,0.2216362935828354
190,63,0,952.46,0.1352340232211762
191,63,1,940.65,0.1335361400401396
192,63,2,974.67,0.1384270787208225
193,64,0,721.51,0.1020311340882036
194,64,1,715.74,0.1012016009845134
195,64,2,717.75,0.1014905717883986
196,65,0,119.06,0.0154189645356627
197,65,1,141.8,0.0186882163169305
198,65,2,130.37,0.0170449644321508
199,66,0,650.18,0.0917762647145083
200,66,1,624.75,0.0881202808623694
201,66,2,622.68,0.0878226840643384
202,67,0,28.18,0.0023534587361193
203,67,1,18.0,0.0008899150627109
204,67,2,20.0,0.0011774482009051
205,68,0,1462.18,0.2085147188213442
206,68,1,1440.97,0.2054654298907949
207,68,2,1463.24,0.2086671113845871
208,69,0,863.11,0.1223884802723514
209,69,1,839.34,0.1189711489249136
210,69,2,858.15,0.1216753980896298
211,70,0,618.82,0.0872677451076236
212,70,1,614.34,0.0866236708780687
213,70,2,614.68,0.0866725515115617
214,71,0,15.3,0.0005017453261488
215,71,1,11.81,0.0
216,71,2,16.21,0.0006325729040271
